titulacion;universidad;facultad;provincia;comunidad_autonoma;nota_actual;nota_anterior;nota_maxima;universidad_nota_maxima;nota_minima;universidad_nota_minima
Relaciones Laborales y Recursos Humanos;Universidad de Oviedo;Facultad de Economía y Empresa;Asturias;Asturias;5,0;5,35;8,151;Universitat de València (Estudi General);;Varios
Terapia Ocupacional;Universidad de Oviedo;Facultad Padre Ossó (centro adscrito);Asturias;Asturias;8,23;5,66;10,409;Universidad de Granada;;Varios
Trabajo Social;Universidad de Oviedo;Facultad de Comercio, Turismo y Ciencias Sociales Jovellanos;Asturias;Asturias;5,101;6,09;9,84;Universidad de Málaga;;Varios
Turismo;Universidad de Oviedo;Facultad de Comercio, Turismo y Ciencias Sociales Jovellanos;Asturias;Asturias;5,0;5,41;7,862;Universitat de València (Estudi General);;Varios
Administración y Dirección de Empresas;Universidad de Cantabria;Facultad de Ciencias Económicas y Empresariales;Cantabria;Cantabria;6,54;5,73;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Cantabria;Facultad de Derecho;Cantabria;Cantabria;11,108;11,65;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Economía;Universidad de Cantabria;Facultad de Ciencias Económicas y Empresariales;Cantabria;Cantabria;12,345;11,92;12,375;Universidad del País Vasco/Euskal Herriko Unibertsitatea;6,069;Universidad de Extremadura
Administración y Dirección de Empresas / Relaciones Laborales;Universidad de Cantabria;Facultad de Derecho;Cantabria;Cantabria;8,227;5,89;8,227;Universidad de Cantabria;8,227;Universidad de Cantabria
Ciencias Biomédicas;Universidad de Cantabria;Facultad de Medicina;Cantabria;Cantabria;12,809;12,79;12,809;Universidad de Cantabria;11,732;Universidad de Lleida
Derecho;Universidad de Cantabria;Facultad de Derecho;Cantabria;Cantabria;9,399;7,59;11,975;Universidad Carlos III de Madrid;;Varios
Economía;Universidad de Cantabria;Facultad de Ciencias Económicas y Empresariales;Cantabria;Cantabria;6,92;5,52;12,161;Universidad Complutense de Madrid;;Varios
Educación Infantil;Universidad de Cantabria;Facultad de Educación;Cantabria;Cantabria;9,059;8,74;10,936;Universidad de Sevilla;;Varios
Educación Infantil / Educación Primaria;Universidad de Cantabria;Facultad de Educación;Cantabria;Cantabria;11,534;12,21;13,066;Universidad de Sevilla;;Varios
Educación Primaria;Universidad de Cantabria;Facultad de Educación;Cantabria;Cantabria;9,796;9,58;10,952;Universidad de Murcia;;Varios
Enfermería;Universidad de Cantabria;Facultad de Enfermería;Cantabria;Cantabria;12,214;11,59;12,71;Universidad de Sevilla;7,542;Universidad Autónoma de Barcelona
Estudios Hispánicos;Universidad de Cantabria;Centro Internacional de Estudios Superiores del Español (CIESE-Comillas) (centro adscrito);Cantabria;Cantabria;5,0;8,99;5,0;Varios;;Varios
Fisioterapia;Universidad de Cantabria;Escuela Universitaria de Fisioterapia Gimbernat-Cantabria (centro adscrito);Cantabria;Cantabria;6,0;5,04;12,678;Universidad de Sevilla;;Varios
Física;Universidad de Cantabria;Facultad de Ciencias;Cantabria;Cantabria;11,47;11,69;13,028;Universitat de València (Estudi General);;Universidad Nacional de Educación a Distancia
Física / Matemáticas;Universidad de Cantabria;Facultad de Ciencias;Cantabria;Cantabria;13,458;13,39;13,764;Universidad de Sevilla;12,864;Universidad de Barcelona
Geografia y Ordenación del Territorio;Universidad de Cantabria;Facultad de Filosofía y Letras;Cantabria;Cantabria;5,0;6,23;5,146;Universidad de Santiago de Compostela;;Varios
Gestión Hotelera y Turística;Universidad de Cantabria;Escuela Universitaria de Turismo Altamira (centro adscrito);Cantabria;Cantabria;5,0;6,17;5,0;Universidad de Cantabria;;Universidad de Cantabria
Historia;Universidad de Cantabria;Facultad de Filosofía y Letras;Cantabria;Cantabria;5,0;5,55;9,28;Universidad de Santiago de Compostela;;Varios
Ingeniería Civil;Universidad de Cantabria;Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos;Cantabria;Cantabria;10,393;6,71;10,567;Universidad de Sevilla;;Varios
Ingeniería Electrónica Industrial y Automática;Universidad de Cantabria;Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación;Cantabria;Cantabria;5,0;5,15;10,839;Universidad Carlos III de Madrid;;Varios
Ingeniería Eléctrica;Universidad de Cantabria;Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación;Cantabria;Cantabria;5,0;5,66;10,887;Universidad Carlos III de Madrid;;Varios
Ingeniería Informática;Universidad de Cantabria;Facultad de Ciencias;Cantabria;Cantabria;10,399;10,54;11,398;Universidad de Santiago de Compostela;;Varios
Ingeniería Marina;Universidad de Cantabria;Escuela Técnica Superior de Náutica;Cantabria;Cantabria;5,0;5,57;5,0;Universidad de Cantabria;;Universidad de Cantabria
Ingeniería Marítima y Arquitectura Naval;Universidad de Cantabria;Escuela Técnica Superior de Náutica;Cantabria;Cantabria;5,0;5,51;5,0;Universidad de Cantabria;;Universidad de Cantabria
Ingeniería Mecánica;Universidad de Cantabria;Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación;Cantabria;Cantabria;6,584;7,17;12,31;Universidad Politécnica de Valencia;;Varios
Ingeniería Náutica y Transporte Marítimo;Universidad de Cantabria;Escuela Técnica Superior de Náutica;Cantabria;Cantabria;5,0;5,08;5,0;Universidad de Cantabria;;Universidad de Cantabria
Ingeniería Química;Universidad de Cantabria;Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación;Cantabria;Cantabria;8,062;6,94;11,749;Universidad Politécnica de Madrid;;Varios
Ingeniería de Tecnologías de Telecomunicación;Universidad de Cantabria;Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación;Cantabria;Cantabria;5,0;5,74;9,728;Universidad de Granada;;Varios
Ingeniería de los Recursos Energéticos;Universidad de Cantabria;Escuela Politécnica de Ingeniería de Minas y Energía;Cantabria;Cantabria;5,0;5,07;5,0;Universidad de Cantabria;;Universidad de Cantabria
Ingeniería de los Recursos Mineros;Universidad de Cantabria;Escuela Politécnica de Ingeniería de Minas y Energía;Cantabria;Cantabria;5,0;6,02;5,0;Universidad de Cantabria;;Universidad de Cantabria
Ingeniería en Tecnologías Industriales;Universidad de Cantabria;Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación;Cantabria;Cantabria;8,31;9,12;12,07;Universidad Politécnica de Valencia;;Varios
Logopedia;Universidad de Cantabria;Escuela Universitaria de Fisioterapia Gimbernat-Cantabria (centro adscrito);Cantabria;Cantabria;5,0;5,68;11,168;Universidad de Oviedo;;Universidad de Cantabria
Matemáticas;Universidad de Cantabria;Facultad de Ciencias;Cantabria;Cantabria;11,623;11,83;12,891;Universidad de Salamanca;;Universidad Nacional de Educación a Distancia
Medicina;Universidad de Cantabria;Facultad de Medicina;Cantabria;Cantabria;13,066;12,69;13,45;Universidad de Sevilla;11,388;Universidad de Vic - Universidad Central de Cataluña
Relaciones Laborales;Universidad de Cantabria;Facultad de Derecho;Cantabria;Cantabria;5,0;5,01;7,771;Universidad Autónoma de Barcelona;;Varios
Administración y Dirección de Empresas;Universidad de Salamanca;Facultad de Economía y Empresa;Salamanca;Castilla y León;8,435;8,96;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Valladolid;Facultad de Ciencias Sociales, Jurídicas y de la Comunicación;Segovia;Castilla y León;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Valladolid;Facultad de Ciencias Empresariales y del Trabajo de Soria;Soria;Castilla y León;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Burgos;Facultad de Ciencias Económicas y Empresariales;Burgos;Castilla y León;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de León;Facultad de Ciencias Económicas y Empresariales;León;Castilla y León;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Valladolid;Facultad de Ciencias Económicas y Empresariales;Valladolid;Castilla y León;5,0;6,38;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Salamanca;Facultad de Economía y Empresa;Salamanca;Castilla y León;11,467;11,63;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Valladolid;Facultad de Derecho;Valladolid;Castilla y León;10,22;10,47;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de León;Facultad de Derecho;León;Castilla y León;10,207;5,0;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Derecho;Universidad de Burgos;Facultad de Derecho;Burgos;Castilla y León;5,0;9,38;12,465;Universidad de Zaragoza;;Varios
Administración y Dirección de Empresas / Ingeniería Informática;Universidad de Salamanca;Facultad de Economía y Empresa;Salamanca;Castilla y León;11,249;11,7;12,149;Universidad Politécnica de Valencia;5,578;Universidad de Extremadura
Administración y Dirección de Empresas / Relaciones Laborales y Recursos Humanos;Universidad de Valladolid;Facultad de Ciencias Empresariales y del Trabajo de Soria;Soria;Castilla y León;5,0;5,0;5,0;Varios;;Varios
Administración y Dirección de Empresas / Traducción e Interpretación;Universidad de Salamanca;Facultad de Economía y Empresa;Salamanca;Castilla y León;12,46;6,81;12,46;Universidad de Salamanca;12,46;Universidad de Salamanca
Antropología;Universidad de Salamanca;Facultad de Ciencias Sociales;Salamanca;Castilla y León;5,0;5,0;5,0;Universidad de Salamanca;;Universidad de Salamanca
Antropología / Filosofía;Universidad de Salamanca;Facultad de Ciencias Sociales;Salamanca;Castilla y León;7,385;5,0;7,385;Universidad de Salamanca;7,385;Universidad de Salamanca
Antropología Social y Cultural;Universidad de Valladolid;Facultad de Educación de Palencia;Palencia;Castilla y León;5,0;5,0;5,0;Varios;;Varios
Arquitectura Técnica;Universidad de Burgos;Escuela Politécnica Superior;Burgos;Castilla y León;5,0;5,0;8,438;Universidad Politécnica de Valencia;;Varios
